timestamp,date,hour,host,user,process,event_type,action,status,severity,severity_num,protocol,service,src_ip,dst_ip,is_internal_src,is_internal_dst,tags,msg,label_suspicious
2025-08-28T15:06:53Z,2025-08-28,15,IMS-CSCF-01,system,,net_connection,register,observed,low,1,sip,core-network,10.225.119.2,40.157.63.48,1,0,telecom|realtime,direction=egress; bytes_out=2412; bytes_in=13426; latency_ms=14; protocol=SIP; service=Core-Network; asn=AS13335; country=US,0
2025-08-28T16:21:44Z,2025-08-28,16,CRM-APP-01,dbadmin,,net_connection,auth,observed,low,1,https,voip,192.168.103.186,104.144.200.23,1,0,telecom|realtime,direction=egress; bytes_out=8712; bytes_in=40; latency_ms=25; protocol=HTTPS; service=VoIP; asn=AS8075; country=US,0
2025-08-28T20:18:17Z,2025-08-28,20,SBC-EDGE-01,alice,,logon_success,auth,observed,medium,2,smtp,voip,10.132.103.73,72.62.218.32,1,0,telecom|realtime,direction=egress; bytes_out=4955; bytes_in=4962; latency_ms=14; protocol=SMTP; service=VoIP; asn=AS16509; country=US,0
2025-08-28T19:21:05Z,2025-08-28,19,NAT-01,svc_bss,,dns_query,auth,observed,medium,2,sip,core-network,10.106.10.211,34.211.81.87,1,0,telecom|realtime,query=pool.ntp.org; answer=64.253.57.156; direction=egress; bytes_out=10246; bytes_in=7376; latency_ms=15; protocol=SIP; service=Core-Network; asn=AS13335; country=US,0
2025-08-28T15:06:42Z,2025-08-28,15,SGW-01,alice,,service_install,register,observed,medium,2,dns,voip,192.168.169.213,23.131.37.57,1,0,telecom|realtime,direction=egress; bytes_out=40; bytes_in=11171; latency_ms=38; protocol=DNS; service=VoIP; asn=AS15169; country=US,1
2025-08-28T15:18:25Z,2025-08-28,15,BSS-APP-01,netops,,net_connection,auth,observed,low,1,http,bss,10.225.236.42,10.70.173.107,1,1,telecom|realtime,direction=internal; bytes_out=16740; bytes_in=9633; latency_ms=29; protocol=HTTP; service=BSS; asn=AS15169; country=US,0
2025-08-28T17:32:31Z,2025-08-28,17,FW-EDGE-01,secops,,autorun_entry,auth,observed,low,1,https,bss,23.208.226.17,172.25.30.150,0,1,telecom|realtime,direction=ingress; bytes_out=7859; bytes_in=12198; latency_ms=53; protocol=HTTPS; service=BSS; asn=AS15169; country=US,1
2025-08-28T14:34:40Z,2025-08-28,14,BSS-APP-01,netops,node.exe,proc_start,spawn,observed,low,1,sip,customer-crm,192.168.52.159,1.149.31.169,1,0,telecom|realtime,direction=egress; bytes_out=20908; bytes_in=5436; latency_ms=35; protocol=SIP; service=Customer-CRM; asn=AS15169; country=US,0
2025-08-28T16:09:22Z,2025-08-28,16,IMS-CSCF-01,alice,,net_connection,deny,observed,medium,2,dns,oss,10.21.153.59,199.43.95.102,1,0,telecom|realtime,direction=egress; bytes_out=20349; bytes_in=5800; latency_ms=50; protocol=DNS; service=OSS; asn=AS3356; country=US,0
2025-08-28T18:33:41Z,2025-08-28,18,TELCO-CORE-01,svc_ims,,dns_query,deny,observed,low,1,ssh,voip,10.229.140.184,72.221.142.151,1,0,telecom|realtime,query=pool.ntp.org; direction=egress; bytes_out=14480; bytes_in=40; latency_ms=23; protocol=SSH; service=VoIP; asn=AS16509; country=US,0
2025-08-28T16:09:17Z,2025-08-28,16,FW-EDGE-01,bob,,sip_invite,connect,observed,high,3,https,customer-crm,10.222.9.155,172.28.222.4,1,1,telecom|realtime,call_id=cc4e5d2b5c2fbc4e; from=+918654096500; to=+918360165469; direction=internal; bytes_out=16249; bytes_in=18511; latency_ms=39; protocol=HTTPS; service=Customer-CRM; asn=AS15169; country=US,0
2025-08-28T20:43:59Z,2025-08-28,20,PGW-01,secops,,sip_invite,spawn,observed,informational,0,ssh,mail-server,172.16.119.180,13.123.119.116,1,0,telecom|realtime,call_id=b060c6fd6c3770d5; from=+917300958000; to=+919010173599; direction=egress; bytes_out=19815; bytes_in=14067; latency_ms=5; protocol=SSH; service=Mail-Server; asn=AS15169; country=US,0
2025-08-28T20:27:59Z,2025-08-28,20,TELCO-CORE-02,system,systemd,proc_start,spawn,observed,informational,0,https,voip,192.168.99.174,104.92.231.108,1,0,telecom|realtime,direction=egress; bytes_out=11630; bytes_in=12583; latency_ms=32; protocol=HTTPS; service=VoIP; asn=AS8075; country=US,0
2025-08-28T16:56:24Z,2025-08-28,16,NAT-01,svc_ims,node.exe,proc_start,connect,observed,low,1,dns,core-network,10.40.108.132,199.173.2.88,1,0,telecom|realtime,direction=egress; bytes_out=11557; bytes_in=12311; latency_ms=29; protocol=DNS; service=Core-Network; asn=AS3356; country=US,0
2025-08-28T19:22:34Z,2025-08-28,19,TELCO-CORE-02,svc_ims,,net_connection,register,observed,medium,2,ssh,bss,192.168.111.235,10.78.145.126,1,1,telecom|realtime,direction=internal; bytes_out=8968; bytes_in=8820; latency_ms=22; protocol=SSH; service=BSS; asn=AS3356; country=US,0
2025-08-28T20:34:49Z,2025-08-28,20,TELCO-CORE-02,alice,,net_connection,permit,observed,medium,2,dns,customer-crm,10.201.144.111,172.16.225.126,1,1,telecom|realtime,direction=internal; bytes_out=199; bytes_in=3562; latency_ms=41; protocol=DNS; service=Customer-CRM; asn=AS15169; country=US,0
2025-08-28T16:57:30Z,2025-08-28,16,SGW-01,system,,sip_register,query,observed,low,1,http,web-portal,172.29.119.116,52.223.138.250,1,0,telecom|realtime,call_id=ff60ac065fc520d3; from=+916969082686; direction=egress; bytes_out=3914; bytes_in=40; latency_ms=18; protocol=HTTP; service=Web-Portal; asn=AS13335; country=US,0
2025-08-28T16:58:25Z,2025-08-28,16,TELCO-CORE-01,alice,,dns_query,invite,observed,informational,0,https,customer-crm,10.32.102.129,31.10.60.207,1,0,telecom|realtime,query=login.partner-ssp.com; answer=172.80.174.196; direction=egress; bytes_out=2447; bytes_in=17775; latency_ms=1; protocol=HTTPS; service=Customer-CRM; asn=AS15169; country=US,0
2025-08-28T19:22:29Z,2025-08-28,19,PGW-01,svc_ims,,sip_invite,query,observed,critical,4,sip,bss,192.168.1.31,142.160.93.49,1,0,telecom|realtime,call_id=3c0f5820f1110919; from=+917910193492; to=+916028913456; direction=egress; bytes_out=12118; bytes_in=8515; latency_ms=18; protocol=SIP; service=BSS; asn=AS4837; country=CN,1
2025-08-28T15:41:17Z,2025-08-28,15,PGW-01,bob,,net_connection,query,observed,medium,2,https,mail-server,10.102.113.231,172.16.239.250,1,1,telecom|realtime,direction=internal; bytes_out=6917; bytes_in=9623; latency_ms=7; protocol=HTTPS; service=Mail-Server; asn=AS15169; country=US,0
2025-08-28T13:09:38Z,2025-08-28,13,CRM-APP-01,svc_ims,,logon_failure,register,observed,medium,2,https,voip,192.168.201.70,31.209.200.80,1,0,telecom|realtime,direction=egress; bytes_out=25359; bytes_in=5012; latency_ms=23; protocol=HTTPS; service=VoIP; asn=AS15169; country=US,0
2025-08-28T15:33:10Z,2025-08-28,15,TELCO-CORE-02,system,,net_connection,permit,observed,high,3,http,mail-server,10.177.174.174,40.41.49.65,1,0,telecom|realtime,direction=egress; bytes_out=22713; bytes_in=3244; latency_ms=51; protocol=HTTP; service=Mail-Server; asn=AS13335; country=US,0
2025-08-28T16:22:41Z,2025-08-28,16,CRM-APP-01,svc_crm,,logon_success,invite,observed,informational,0,dns,mail-server,172.19.187.247,72.131.12.207,1,0,telecom|realtime,direction=egress; bytes_out=10225; bytes_in=40; latency_ms=18; protocol=DNS; service=Mail-Server; asn=AS16509; country=US,0
2025-08-28T19:00:48Z,2025-08-28,19,TELCO-CORE-02,netops,,net_connection,permit,observed,informational,0,dns,bss,10.137.70.179,23.56.201.255,1,0,telecom|realtime,direction=egress; bytes_out=6320; bytes_in=6312; latency_ms=35; protocol=DNS; service=BSS; asn=AS15169; country=US,0
2025-08-28T19:34:28Z,2025-08-28,19,TELCO-CORE-02,charlie,kamailio,proc_start,auth,observed,medium,2,http,customer-crm,172.18.101.232,128.77.255.187,1,0,telecom|realtime,direction=egress; bytes_out=1197; bytes_in=19317; latency_ms=22; protocol=HTTP; service=Customer-CRM; asn=AS4837; country=CN,0
2025-08-28T16:44:41Z,2025-08-28,16,SGW-01,charlie,,logon_failure,query,observed,low,1,sip,voip,192.168.212.233,72.217.250.134,1,0,telecom|realtime,direction=egress; bytes_out=10548; bytes_in=40; latency_ms=30; protocol=SIP; service=VoIP; asn=AS16509; country=US,0
2025-08-28T17:33:01Z,2025-08-28,17,TELCO-CORE-01,charlie,,net_connection,deny,observed,low,1,smtp,mail-server,192.168.112.40,192.168.200.176,1,1,telecom|realtime,direction=internal; bytes_out=10228; bytes_in=7454; latency_ms=28; protocol=SMTP; service=Mail-Server; asn=AS3356; country=US,0
2025-08-28T14:20:46Z,2025-08-28,14,SBC-EDGE-01,bob,,net_connection,query,observed,informational,0,dns,web-portal,192.168.107.171,13.208.155.140,1,0,telecom|realtime,direction=egress; bytes_out=8311; bytes_in=13993; latency_ms=13; protocol=DNS; service=Web-Portal; asn=AS15169; country=US,0
2025-08-28T17:39:21Z,2025-08-28,17,IMS-CSCF-01,charlie,,sip_invite,register,observed,high,3,sip,web-portal,10.125.131.11,42.224.115.20,1,0,telecom|realtime,call_id=7be3044b253a0ac6; from=+917424865971; to=+917100947491; direction=egress; bytes_out=15717; bytes_in=3924; latency_ms=21; protocol=SIP; service=Web-Portal; asn=AS13335; country=US,1
2025-08-28T18:57:46Z,2025-08-28,18,TELCO-CORE-01,bob,,sip_invite,register,observed,low,1,http,web-portal,10.50.254.131,31.19.205.33,1,0,telecom|realtime,call_id=1c7fd95e21c51d84; from=+917428175138; to=+919733984536; direction=egress; bytes_out=23987; bytes_in=10527; latency_ms=28; protocol=HTTP; service=Web-Portal; asn=AS15169; country=US,0
2025-08-28T18:01:31Z,2025-08-28,18,SBC-EDGE-01,secops,,net_connection,connect,observed,informational,0,https,core-network,10.30.128.159,192.168.226.12,1,1,telecom|realtime,direction=internal; bytes_out=9201; bytes_in=16651; latency_ms=38; protocol=HTTPS; service=Core-Network; asn=AS15169; country=US,0
2025-08-28T17:13:46Z,2025-08-28,17,TELCO-CORE-02,svc_bss,,net_connection,spawn,observed,high,3,https,customer-crm,192.168.7.251,64.4.199.149,1,0,telecom|realtime,direction=egress; bytes_out=15706; bytes_in=6463; latency_ms=25; protocol=HTTPS; service=Customer-CRM; asn=AS16509; country=US,0
2025-08-28T16:32:13Z,2025-08-28,16,TELCO-CORE-02,bob,,sip_invite,query,observed,medium,2,https,oss,172.31.29.217,104.89.15.186,1,0,telecom|realtime,call_id=9c276dca4d38ac8e; from=+919284016798; to=+919049953341; direction=egress; bytes_out=5985; bytes_in=4624; latency_ms=31; protocol=HTTPS; service=OSS; asn=AS8075; country=US,0
2025-08-28T19:45:05Z,2025-08-28,19,BSS-APP-01,svc_bss,,sip_invite,spawn,observed,medium,2,http,mail-server,10.154.64.234,34.222.140.134,1,0,telecom|realtime,call_id=f7a789a8ce32178a; from=+917739608463; to=+918825344495; direction=egress; bytes_out=11641; bytes_in=14274; latency_ms=38; protocol=HTTP; service=Mail-Server; asn=AS13335; country=US,0
2025-08-28T17:49:33Z,2025-08-28,17,SGW-01,alice,,net_connection,spawn,observed,high,3,dns,web-portal,172.28.170.145,172.74.39.120,1,1,telecom|realtime,direction=egress; bytes_out=40; bytes_in=18090; latency_ms=42; protocol=DNS; service=Web-Portal; asn=AS9498; country=IN,0
